ID var_rpta_alt
554575#454094#626249 1
64118#298647#784458 1
305359#943597#136745 0
434842#973452#106890 1
313467#6127#1078791 1
129625#342346#738321 1
256075#954848#125494 1
52032#502619#577723 1
419923#254982#828007 1
90603#286806#796253 1
464056#137795#950310 1
373425#469497#610845 1
170709#843266#237076 1
52930#655628#424714 1
5840#519766#560576 1
263408#82506#1022747 1
105310#998569#81773 1
450999#845412#234930 1
42039#945860#134482 0
87383#589930#490412 0
433764#525347#554995 1
545269#885863#194479 0
475522#901830#178512 1
42117#762600#317742 1
6962#555966#524376 1
207669#539825#540517 0
17250#821177#259165 1
237882#542547#537795 1
604883#54411#1050538 1
439311#623538#456804 1
328797#300075#783036 1
553137#553750#526592 1
378587#63249#1041741 1
174592#811508#268834 1
173466#988953#91389 0
536301#857845#222497 1
83554#540254#540088 1
72862#695829#384513 1
183130#1052570#27772 1
311867#1062973#17369 1
376725#505835#574507 1
264036#340019#740628 1
634566#877622#202720 0
604493#781492#298850 1
143564#48597#1056228 1
175760#768645#311697 1
270471#812720#267622 1
567411#621562#458780 1
508113#252075#830932 1
517485#621693#458649 1
510130#411821#668098 1
220104#262203#820778 1
246496#251595#831405 1
152534#1008306#72036 1
153637#563675#516667 0
178047#673386#406956 1
539213#326125#757011 0
107347#886162#194180 1
150922#1063327#17015 0
143647#868791#211551 1
628673#139847#948255 1
535132#552285#528057 1
426155#88651#1016648 1
139343#125643#962188 1
189768#767820#312522 1
73300#330140#750563 0
554366#175169#912936 1
293667#203897#881349 1
456298#87261#1018002 1
65855#707097#373245 0
535783#271898#811118 1
244628#555597#524745 0
235881#765981#314361 1
93375#657793#422549 1
613050#1036206#44136 1
51616#1029522#50820 1
220731#586278#494064 1
44745#773382#306960 1
550209#288315#794753 1
537034#183447#904692 1
55960#5305#1079779 1
46867#880568#199774 0
194834#599184#481158 1
210445#236226#846696 1
173504#999497#80845 0
23676#1076893#3449 1
622529#185966#902187 0
361379#1051336#29006 1
634135#159822#928278 0
436836#819548#260794 1
93989#793008#287334 1
380218#869068#211274 1
268330#967538#112804 0
321962#68960#1036086 1
480627#652734#427608 1
624020#403404#676513 1
459199#257727#825257 1
352323#221047#861745 1
211518#488398#591944 0
236335#310695#772441 0
158689#547148#533194 1
29219#871887#208455 1
293597#487845#592497 0
292775#553162#527180 1
63474#700547#379795 1
149180#569305#511037 0
293824#22004#1062743 0
365232#358262#721602 1
355831#70700#1034351 0
624209#329375#751323 1
622303#365225#714632 1
243069#870219#210123 0
384059#313245#769891 1
161513#295421#787674 1
68693#465606#614736 0
45940#632930#447412 1
410712#853994#226348 1
122065#292231#790833 0
166659#556822#523520 1
400321#1046533#33809 1
375954#751950#328392 1
138067#1017665#62677 1
296712#1046975#33367 1
520545#694671#385671 0
84280#497355#582987 1
135327#171617#916515 1
312854#23161#1006792 0
32210#425222#654752 0
398930#717580#362762 1
503540#868432#211910 0
628346#409694#670224 1
539574#167286#920839 1
590174#844757#235585 1
435606#657257#423085 0
565217#695406#384936 1
303076#1067068#13274 1
208608#335696#744889 1
230412#395090#684820 1
569467#516579#563763 0
272768#213816#868944 1
495379#41469#1063630 0
405544#286671#796389 1
472825#106444#981340 1
117286#903775#176567 1
267060#387511#692341 1
589096#81637#1023608 1
412469#943805#136537 1
538782#248619#834383 1
423643#808632#271710 1
629890#287808#795263 1
415780#914379#165963 1
418031#261349#821636 1
419882#57011#1047944 1
450627#465017#615325 0
464713#705049#375293 1
452137#255775#803728 1
259429#756757#323585 0
346098#61958#1043027 1
97423#664749#415593 1
308678#20069#1077020 0
432279#733026#347316 1
548338#190652#897587 0
84047#884358#195984 1
315390#783874#296468 1
62276#1035377#44965 0
134241#784914#295428 1
205132#664388#415954 1
86563#1002421#77921 0
258550#330513#750194 1
440609#229212#853623 1
380242#289674#793386 1
580073#74656#1030396 0
462332#636906#443436 0
407948#45301#1059527 1
39323#157477#930624 1
314451#26747#884999 0
193614#261465#821524 1
95607#136818#951285 1
67166#1038681#41661 1
351734#611311#469031 1
14049#463100#617242 1
302769#507427#572915 0
596379#205256#880001 1
62214#570446#509896 0
132132#498370#581972 0
497002#832539#247803 1
578596#36875#1068187 1
466588#559562#520780 1
588228#493065#587277 0
11474#621602#458740 1
433613#1060329#20013 0
422977#845492#234850 1
232047#1003739#76603 0
520374#867932#212410 1
398568#601378#478964 0
499861#250638#832361 0
433366#156135#931963 1
361384#1007130#73212 1
125140#415503#664451 1
422732#800430#279912 1
196806#466331#614011 1
238300#85053#1020208 1
345966#383358#696493 1
425792#533143#547199 1
611353#667280#413062 1
73181#310712#772423 0
355702#880510#199832 1
70961#39567#1065528 1
246705#343124#737538 1
527723#297305#785795 1
507638#560471#519871 0
542675#574756#505586 1
590871#568902#511440 0
333132#478491#601851 1
560476#123842#963987 1
514956#360617#719245 1
313869#9261#1013248 1
555649#154436#933679 1
256842#123775#964055 1
497999#553577#526765 1
498773#92545#995219 1
129217#492313#588029 1
473006#1040718#39624 1
223300#19563#1079167 1
448272#496876#583466 1
6327#325675#757459 1
114672#445134#635199 0
34071#501085#579257 0
1272#142731#945366 1
590198#265751#817248 1
538160#358530#721332 1
6090#230828#852007 1
623778#57573#1047391 1
388364#549461#530881 0
378755#827434#252908 1
347450#66197#1038830 1
633995#73268#1031785 0
162118#289400#793661 0
245372#389645#690204 1
154297#436884#643395 1
247674#535143#545199 1
1124#675793#404549 1
569283#821034#259308 0
67600#475389#604953 1
203463#1035226#45116 1
404836#362396#717459 1
549955#392970#686937 0
204669#342404#738260 1
321231#143900#944202 1
135791#623631#456711 0
10731#883537#196805 1
188605#88298#1017006 1
552004#54631#1050319 1
437040#631310#449032 1
378449#957538#122804 1
91906#993030#87312 0
482146#292674#790396 1
578802#1038238#42104 0
25602#93035#994732 1
33418#471738#608604 1
292569#338875#741769 1
30969#859016#221326 0
412499#1007512#72830 1
444266#1056043#24299 1
362977#183972#904168 0
131727#953128#127214 0
409292#983301#97041 1
230736#549233#531109 1
486386#143384#944720 1
480631#778583#301759 1
258929#464600#615742 1
391426#999459#80883 0
609825#355572#724292 1
337037#387664#692190 1
448150#777601#302741 1
405191#807929#272413 0
229641#1008497#71845 0
230599#848190#232152 0
144781#316660#766481 1
502765#793404#286938 0
577220#1038604#41738 1
431338#329195#751498 1
424714#143039#945061 1
411963#181159#906973 1
5065#224924#857888 1
245470#1026632#53710 1
546608#866171#214171 1
120348#647269#433073 1
182468#704067#376275 1
531793#907306#173036 1
179491#511362#568980 1
419074#791654#288688 1
329222#899123#181219 0
54918#455028#625315 1
98358#806965#273377 1
333205#258853#824138 0
490630#92563#995200 1
257335#943782#136560 0
37197#789097#291245 1
198900#1010269#70073 0
226699#470851#609491 0
187600#690473#389869 1
461243#111840#975969 1
416114#725097#355245 1
590442#521776#558566 1
334283#708690#371652 1
327536#459123#621218 1
206894#399363#680549 1
516607#380273#699583 1
196101#333541#747035 1
277820#622208#458134 0
490477#244718#783255 1
506244#408352#671564 1
592877#834499#245843 1
378246#1063359#16983 1
612684#335862#744723 1
571811#305271#777833 0
91540#641777#438565 1
243383#589935#490407 1
377595#745947#334395 1
410638#299474#783628 1
479741#295584#787512 1
621913#556832#523510 1
445442#118907#968922 1
141645#483148#597194 1
370958#948341#132001 1
150595#752691#327651 1
575948#1077517#2825 1
397980#507771#572571 1
280565#221104#861689 1
329806#208148#874563 1
451866#953829#126513 1
318698#957227#123115 0
136420#282553#800502 1
112058#916235#164107 1
229885#814745#265597 1
439486#694537#385805 1
343230#1021055#59287 1
304073#99399#988382 1
237373#866910#213432 1
629656#1051242#29100 1
140535#867773#212569 1
309235#27126#885000 0
577997#651495#428847 1
514900#494801#585541 1
404181#411638#668281 1
144755#269609#813403 1
138504#37560#1067502 1
110664#1008365#71977 0
487146#707669#372673 1
132313#1022788#57554 1
428006#1063476#16866 1
179856#504058#576284 1
612389#740907#339435 1
424864#986930#93412 0
49361#34128#1070905 1
52360#302215#780900 1
445835#866776#213566 1
515919#898883#181459 1
141285#1038785#41557 1
456870#198755#889509 0
100484#772459#307883 1
250643#718524#361818 1
536387#160026#928075 1
265119#712953#367389 1
359316#1040308#40034 1
314903#686410#393932 0
323577#716263#364079 1
482621#45794#1059039 1
91481#885279#195063 0
559155#478154#602188 1
188959#607485#472857 1
107872#131186#956664 1
247853#94631#993145 1
622397#327961#755181 1
243886#947969#132373 1
382713#957776#122566 1
289604#681568#398774 1
4043#805941#274401 1
393205#386367#693482 1
560476#413976#665947 1
72229#1049958#30384 0
571988#655619#424723 1
423838#848165#232177 1
571616#176901#911205 1
241287#322897#760238 1
82475#784278#296064 1
412950#61926#1043058 1
179544#1048702#31640 1
56690#803199#277143 1
233137#375570#704284 0
319868#128551#959300 1
342460#1018593#61749 0
502502#383618#696234 1
474296#62443#1042545 1
620273#587530#492812 1
560724#486130#594212 0
23404#229713#853117 1
478867#900711#179631 0
180028#106238#981545 0
448274#684494#395848 1
588315#724613#355729 1
514979#330406#750301 1
61689#411828#668091 1
117754#683666#396676 1
384083#792077#288265 1
431022#732912#347430 1
180560#262687#820297 1
312022#992120#88222 1
606496#648301#432041 1
259070#373787#706066 1
473907#880805#199537 0
318938#860955#219387 1
541648#334121#746461 0
255664#272857#810159 1
278732#748074#332268 1
197924#515785#564557 1
400542#989152#91190 1
254532#155074#933035 0
454349#218163#864607 1
346798#361272#718590 1
321747#75967#1029102 0
156608#867668#212674 1
514988#379046#700810 1
34351#661393#418949 1
116477#882962#197380 0
130880#545471#534871 1
586317#429025#650971 1
264881#501483#578859 1
81934#273238#809779 1
273599#716200#364142 1
620169#1067728#12614 0
519772#637165#443177 1
565618#480829#599513 1
92678#431842#648218 1
488445#1011659#68683 1
606141#284370#798689 0
545618#43855#1060965 1
506494#800957#279385 0
525137#715650#364692 1
468226#1036375#43967 1
16438#987551#92791 0
493184#399270#680641 1
91913#83357#1021890 1
315313#8596#1003687 0
259074#475309#605033 0
159957#186352#901797 0
167829#836808#243534 0
436119#836936#243406 1
72823#472414#607928 0
65560#332603#747976 1
188161#317837#765298 0
296971#398067#681835 1
539628#688590#391752 1
268485#98301#989466 1
543436#241732#841287 0
439633#879956#200386 1
195439#256782#826197 0
175928#516461#563881 1
472429#261001#821982 0
61035#345487#735197 0
556455#639984#440358 0
279658#683688#396654 1
494476#660353#419989 0
193129#595095#485247 0
117225#457612#622725 1
129349#866217#214125 1
523393#698708#381634 0
368957#1042137#38205 0
134383#734098#346244 1
562866#646475#433867 1
280468#821356#258986 0
131302#412349#667568 1
312726#517464#562878 1
456501#448032#632322 1
27084#682584#397758 1
86226#538123#542219 1
165308#205727#879540 1
446737#624425#455917 1
284870#1021366#58976 0
249597#723049#357293 1
230814#855030#225312 1
172951#540626#539716 0
440422#122285#965533 1
523992#503608#576734 1
375253#50275#1054588 1
488302#1012285#68057 1
266786#224994#857816 1
401394#436248#644001 1
393444#119084#968742 1
530572#873560#206782 1
398795#222838#859959 0
111383#292189#790875 1
26487#162077#926030 0
457379#638893#441449 1
173486#130232#957612 1
617220#655578#424764 1
416568#444585#635746 1
575081#273538#809478 0
190599#703881#376461 1
373270#249051#833953 1
526515#1014849#65493 1
162739#37381#1067679 1
557322#1030026#50316 1
257922#523045#557297 1
86242#94220#993558 1
233151#91914#995850 1
466917#629285#451057 1
221440#404966#674959 1
497587#719763#360579 1
103212#173160#914962 1
331885#1059130#21212 1
101135#181417#906719 1
243923#286508#796554 1
187995#611783#468559 1
214520#658576#421766 0
170761#963927#116415 1
142536#132990#954957 1
244634#1022070#58272 1
373713#897903#182439 1
86613#600559#479783 1
545113#521202#559140 0
152464#826449#253893 1
629106#760693#319649 1
104184#114471#973347 1
613293#156590#931513 1
496995#321410#761740 1
64471#642738#437604 1
481874#708454#371888 1
92486#622396#457946 1
59485#858909#221433 1
211267#286956#796105 1
590063#1070076#10266 1
418977#65817#1039204 0
472580#868677#211665 1
236382#425543#654433 0
513113#307207#775917 1
11843#644011#436331 1
159805#94281#993498 1
400483#55542#1049416 1
597283#490917#589425 0
354166#53764#1051185 0
17677#228376#854448 1
101189#665473#414869 1
346859#537734#542608 1
306291#30120#1014194 0
251242#1039354#40988 1
473180#164210#937954 1
177233#242323#840693 1
27653#799417#280925 0
209515#305629#777477 1
266710#605710#474632 1
166220#980286#100056 1
146717#518605#561737 1
54997#808509#271833 1
482376#319904#763245 1
112568#257689#825294 1
514494#770952#309390 1
46610#476890#603452 0
51878#351840#728946 1
497643#914038#166304 0
553854#382588#697261 0
26809#177838#910277 1
634212#781755#298587 0
245978#425875#654100 0
95958#633172#447170 0
608706#1032343#47999 1
288779#20550#1072612 0
447956#466526#613816 1
287662#108295#979503 1
89193#421724#658261 1
541077#1022640#57702 1
417981#343712#736965 1
226546#827173#253169 1
183292#984517#95825 0
114556#134514#953543 1
45133#214439#868321 1
453901#344524#736157 1
358258#1076963#3379 1
522703#701577#378765 1
354947#870570#209772 1
78273#868509#211833 0
576070#217938#864830 1
521625#158450#929663 1
72887#97720#990047 1
253414#125184#962647 0
247322#686254#394088 1
386481#706903#373439 1
208772#229895#852937 1
240114#542524#537818 1
247614#630537#449805 1
431954#528213#552129 1
15308#372803#707051 1
371411#40175#1064923 1
396697#1004590#75752 1
370817#77462#1027625 0
227368#826794#253548 1
623812#867727#212615 0
565230#372664#707190 1
421814#191505#896734 1
13713#995815#84527 0
279633#266125#816878 1
551602#897743#182599 1
208537#1058779#21563 0
365855#333869#746713 1
102742#322594#760546 1
208568#575425#504917 1
66891#182910#905224 1
119036#584262#496080 0
71347#996083#84259 0
423838#848165#232177 1
246760#894534#185808 1
565867#199897#888372 1
59563#479128#601214 0
69471#643392#436950 1
205313#663152#417190 1
459946#857144#223198 1
333871#871385#208957 1
55866#136403#951693 1
260484#1040734#39608 0
5760#815595#264747 0
305020#244869#838127 1
97384#6159#1072920 1
471672#162211#925898 0
399399#847277#233065 1
245450#1036605#43737 0
592306#1062073#18269 1
799#813085#267257 0
431486#591449#488893 1
177792#263138#819849 1
40055#1049726#30616 1
252424#619873#460469 1
296204#499052#581290 1
431319#843659#236683 1
153455#368828#711029 1
565484#695036#385306 1
193667#438686#641622 1
290380#530416#549926 1
343328#187525#900629 0
10397#522712#557630 1
523840#944794#135548 1
242551#604486#475856 0
147986#642199#438143 0
470748#701355#378987 0
125750#283766#799285 1
358541#978907#101435 0
269468#1029134#51208 1
442340#225027#857783 1
386556#65149#1039863 1
297462#24950#1011578 0
481359#1058874#21468 1
356240#152461#935637 1
261249#854091#226251 0
232763#1054686#25656 1
535874#975633#104709 1
450622#222207#860586 1
261462#526470#553872 1
188427#651484#428858 1
472504#467347#612995 0
128252#664546#415796 1
319394#168630#919501 1
115389#300972#782143 1
494420#877598#202744 0
148555#500929#579413 0
25338#447890#632464 1
461654#950159#130183 0
15376#795821#284521 0
510043#651355#428987 1
480008#142732#945365 1
99788#163344#924776 1
366197#985986#94356 1
484748#227255#855570 1
474724#353981#725883 1
130880#545365#534977 1
455971#308545#774575 1
10744#793564#286778 0
324073#952484#127858 1
282614#897651#182691 1
536493#391277#688628 1
421819#392493#687414 1
277537#697832#382510 1
12668#121049#966773 0
271896#142370#945725 1
423372#180970#907163 1
94209#267579#815435 1
630923#957987#122355 1
491103#388840#691020 0
4797#147301#940792 0
80856#135689#952399 1
260880#989919#90423 0
484480#789295#291047 1
568980#472236#608106 1
110452#566447#513895 1
155055#945527#134815 1
19579#417073#662921 1
232095#826984#253358 1
522111#698434#381908 1
296706#485113#595229 1
434793#986863#93479 1
143910#560167#520175 1
315962#15372#997100 1
603585#188362#899803 1
209171#464502#615840 1
52575#1030833#49509 1
595273#200445#887824 0
405384#626611#453731 1
470642#780784#299558 0
552191#546592#533750 0
479378#993532#86810 1
380977#99680#988103 1
327739#1063585#16757 1
43496#844857#235485 1
48773#672705#407637 0
226285#956553#123789 1
525563#635340#445002 0
79258#777027#303315 0
543759#408787#671133 1
196887#990153#90189 1
502593#794151#286191 1
162542#564106#516236 1
580713#672278#408064 1
431755#814330#266012 1
38223#630011#450331 0
80615#867108#213234 1
255055#809681#270661 1
123614#832587#247755 1
374889#302433#780682 1
163252#733353#346989 1
290469#165329#922788 1
409779#1007673#72669 0
104081#237972#845007 1
320620#869495#210847 0
187673#1366#1079305 1
481122#702422#377920 0
557522#887287#193055 1
267674#1006934#73408 0
353255#841150#239192 1
109783#352567#727303 1
203142#494550#585792 0
45427#782567#297775 0
581158#103433#984338 1
21049#794520#285822 1
145054#88512#1016787 1
582814#190777#897462 0
40981#817075#263267 0
431454#86307#1018953 1
49738#140487#947619 1
103960#434793#645397 1
426346#113416#974397 1
606424#182290#905843 1
46419#1033655#46687 1
296958#336602#743981 1
242626#824677#255665 1
42945#1063284#17058 1
259518#604608#475734 1
423836#413630#672398 1
45133#785061#295281 1
87072#870729#209613 1
364035#564349#515993 1
181406#987214#93128 0
240476#988493#91849 1
265119#712953#367389 1
436043#521658#558684 1
380889#599783#480559 1
414361#841560#238782 0
571078#903304#177038 0
505779#660460#419882 1
301507#88264#1017041 1
621978#949680#130662 1
30085#673493#406849 0
362467#874549#205793 0
371580#386453#693396 1
305000#806516#273826 1
37278#452343#628014 1
489513#179630#908490 1
368770#1049245#31097 1
599725#497552#582790 0
493945#71813#1033251 0
335566#835636#244706 1
228146#166704#921419 1
304743#587197#493145 1
501512#744306#336036 0
574944#650782#429560 1
24656#327238#755890 1
197605#509472#570870 1
168014#350318#730445 1
447327#837360#242982 1
249638#945397#134945 1
375413#568685#511657 1
114273#844711#235631 0
112714#379654#700199 1
229641#1008490#71852 0
592801#211138#871614 0
634058#162783#925329 1
465549#163551#924569 0
549675#1018742#61600 1
114641#1071221#9121 1
256329#666612#413730 1
534655#407231#672688 1
385148#593619#486723 1
304482#393581#686327 1
560545#945873#134469 1
387487#1075720#4622 1
295076#739470#340872 1
38430#832263#248079 0
163972#145844#942252 1
361675#102235#985536 1
381092#707093#373249 0
160305#621418#458924 1
412532#790489#289853 1
514890#194789#893466 1
216475#42234#1062573 1
67236#565798#514544 1
306654#32487#885676 1
311074#526054#554288 0
634678#752966#327376 1
12889#123192#964631 1
213581#422739#657244 1
231736#590818#489524 0
81949#538938#541404 1
297414#868024#212318 1
391046#183448#904691 1
339419#223857#858944 1
234155#1001809#78533 1
345420#172761#915362 0
39552#805691#274651 1
69593#428772#651223 1
154902#892888#187454 1
609036#315614#767531 1
484112#573027#507315 1
5840#519817#560525 1
159274#102174#985598 1
64030#739247#341095 1
327969#136634#951468 1
514393#172323#915800 1
395695#974031#106311 1
140439#359718#720145 1
399329#1001665#78677 1
151194#389733#690121 1
488122#993882#86460 0
452021#144996#943102 1
173902#1033650#46692 1
320370#867547#212795 1
220541#961578#118764 1
376338#816003#264339 1
305530#21670#1079148 1
151958#96524#991247 1
252351#132218#955692 0
305431#830901#249441 1
211041#168896#919239 1
9800#285828#797233 1
398263#974169#106173 1
279056#942723#137619 1
374175#405887#674034 0
540783#467675#612667 1
360316#322592#760548 0
487951#546770#533572 1
191287#515699#564643 1
319315#1069248#11094 1
534442#319446#763701 1
320681#238787#844218 1
542675#574688#505654 1
448809#786883#293459 1
405273#222871#859926 1
170959#991039#89303 1
1436#216289#866481 1
344299#982430#97912 1
475388#660981#419361 1
10817#1792#1076478 1
40446#516038#564304 1
497545#51612#1053330 0
260250#990804#89538 1
409768#1048217#32125 0
168263#501904#578438 1
582278#819099#261243 1
166048#196128#892129 1
232310#91177#996567 1
270032#603186#477156 1
176729#113242#974573 1
595337#496226#584116 1
190154#620198#460144 0
438070#76300#1028771 1
429014#1060903#19439 1
625246#265422#817570 0
1550#854207#226135 1
243966#327998#755147 1
469446#64286#1040716 1
215311#109009#978787 1
344#519159#561183 1
488242#1011947#68395 1
308113#32836#886298 0
112912#17615#1012311 1
90635#995250#85092 1
509202#341516#739135 1
64548#241610#841409 1
614972#700422#379920 1
130854#358420#721444 1
507562#114252#973568 1
504914#707986#372356 1
341700#450658#629713 1
599937#147443#940651 1
314348#26871#885880 0
68369#542535#537807 1
330612#645529#434813 0
287232#636161#444181 0
470230#619589#460753 1
234492#623879#456463 0
50501#1021162#59180 1
36548#729842#350500 0
152591#520347#559995 1
108165#111713#976097 1
555262#966357#113985 1
60657#656000#424342 0
509785#1065510#14832 1
288172#570801#509541 0
401963#1042709#37633 0
154858#819405#260937 1
14089#330329#750373 1
7112#585473#494869 1
505845#829882#250460 1
590125#963793#116549 1
188919#387953#691898 1
92717#446728#633617 1
517551#127901#959951 0
562823#189412#898819 0
413870#766981#313361 1
306291#30120#1014194 0
425226#732130#348212 0
583917#455779#624557 1
579425#61838#1043145 0
201775#1020314#60028 0
236422#90633#1014705 0
455879#331029#749530 1
595817#490896#589446 1
78820#128584#959267 1
192912#757777#322565 1
630501#963948#116394 0
463063#779787#300555 1
376328#567344#512998 1
437763#311941#771207 1
552797#396655#683253 1
415818#809657#270685 1
204023#516325#564017 1
385751#959687#120655 1
479191#1005576#74766 1
526388#487382#592960 1
458332#957537#122805 1
457659#645798#434544 1
500002#957869#122473 0
223097#208664#874055 1
556536#1020860#59482 0
172213#508819#571523 1
141977#427970#652018 0
261335#727634#352708 1
524503#632998#447344 1
440184#290491#792563 1
631403#974825#105517 1
305609#605297#475045 0
66369#627692#452650 1
201841#231929#850906 1
243531#117695#970128 1
163487#177985#910131 0
59963#489886#590456 1
263033#1049033#31309 1
375265#526668#553674 1
180151#610416#469926 1
149795#1026208#54134 0
472681#880414#199928 1
616726#374560#705291 0
83013#162131#925976 1
119729#415730#664232 1
31367#739680#340662 1
116667#482499#597843 1
238561#497993#582349 0
444556#171808#916319 1
3439#725249#355093 0
12987#516535#563807 0
600646#496081#584261 1
79350#453686#626654 1
116724#685757#394585 1
26532#743616#336726 1
523170#1026336#54006 1
25123#722227#358115 1
151303#1057906#22436 1
574626#356430#723435 1
577419#651920#428422 0
38280#705723#374619 1
464260#725139#355203 1
411944#598074#482268 1
22044#1042649#37693 1
62326#575666#504676 0
414297#1003934#76408 1
313841#22650#1004050 1
425716#996906#83436 1
111443#465037#615305 0
628028#979621#100721 1
304113#576803#503539 0
412264#176324#911780 1
76203#105312#982465 1
88057#645195#435147 0
114984#783976#296366 1
197840#298939#784164 1
39684#833557#246785 1
559348#793207#287135 1
340596#110758#977049 1
293676#917373#162969 1
41956#20025#999347 1
313948#649461#430881 1
78945#798357#281985 0
504853#146304#941790 0
581028#101539#986232 1
351331#813372#266970 1
330326#809065#271277 1
179491#511367#568975 1
270938#458705#621638 0
495487#954910#125432 1
604773#1020322#60020 1
602465#372211#707644 1
258495#558653#521689 1
227552#720703#359639 1
353645#926514#153828 1
500667#993022#87320 1
304034#810701#269641 1
530197#383584#696269 1
46092#983712#96630 0
324058#365548#714306 1
52575#1030833#49509 1
226020#1069739#10603 0
149080#945437#134905 1
618428#732883#347459 1
229057#442893#637412 1
304574#1061648#18694 1
176487#607010#473332 1
86460#296810#786290 1
119291#418774#661220 1
1418#1022288#58054 1
15506#643786#436556 1
128786#202373#882861 0
161746#800114#280228 0
102395#21084#1007927 1
237402#543026#537316 1
514586#770930#309412 1
402981#288892#794172 0
250533#809537#270805 1
155528#279916#803127 1
288866#25746#1011091 1
67997#961091#119251 1
163970#956945#123397 1
32776#599523#480819 1
598119#533549#546793 1
262075#521009#559333 0
245218#513389#566953 0
179417#524422#555920 1
465446#948000#132342 1
175928#726684#353658 1
2728#1037267#43075 0
63062#236875#846065 1
37824#15145#1005797 1
340150#103239#984534 0
142704#204126#881128 1
145514#706373#373969 0
93442#344807#735871 1
603786#624781#455561 1
392423#501328#579014 0
595701#232887#849944 1
375534#722535#357807 1
261439#208991#873734 1
623938#267778#815233 1
467061#1047078#33264 1
494688#867532#212810 1
320169#708370#371972 1
349782#904772#175570 1
146859#1006510#73832 1
492907#833827#246515 1
63468#588042#492300 1
438864#730698#349644 1
568181#807875#272467 1
